Ticker;Nev;Sector;Price;Employees;Optionable;Shortable;Market_Cap;Income;Sales;PperE_ratio;BookValuePerShare;CashPerShare;ROA;ROE;ROI;recom
FCX;Freeport-McMoran Cp & Gld;Basic Materials;11.67;34500;1;1;14.03;-12.236;15.88;;6.65;0.18;-0.236;-1.012;-0.405;3
FDX;FedEx Corporation;Services;166.32;114000;1;1;44.24;1.14;49.5;40.71;52.67;10.63;0.03;0.076;0.058;2.1
FE;FirstEnergy Corp;Utilities;34.47;15781;1;1;14.39;0.578;15.03;25.28;29.43;0.31;0.011;0.046;0.047;2.5
FFIV;F5 Networks;Technology;104.52;4178;1;1;7.1;0.3553;1.96;20.85;17.48;11.49;0.156;0.279;0.271;2.8
FIS;Fidelity National Information Services;Technology;65.24;55000;1;1;21.4;0.6388;6.6;29.53;31.54;3.25;0.036;0.088;0.035;1.9
FISV;Fiserv Inc;Services;98.04;22000;1;1;22.13;0.712;5.25;32.98;11.69;1.23;0.076;0.24;0.122;2.7
FITB;Fifth Third Bancorp;Financial;18.62;18261;1;1;14.45;1.62;4.03;9.19;19.38;5.74;0.011;0.109;0.082;2.6
FL;Foot Locker Inc;Consumer Goods;60.41;14944;1;1;8.22;0.541;7.41;15.71;18.55;;0.146;0.211;0.203;2
FLIR;FLIR Systems;Technology;33.31;3003;1;1;4.68;0.2417;1.56;19.73;11.95;3.43;0.102;0.149;0.121;2.2
FLR;Fluor Corp.;Industrial Goods;54.28;38758;1;1;7.52;0.4182;18.11;18.95;21.27;15.23;0.054;0.135;0.12;2.4
FLS;Flowserve Corporation;Industrial Goods;47;19000;1;1;6.21;0.2677;4.56;23.28;12.38;2.72;0.051;0.156;0.114;2.9
FMC;FMC Corporation;Basic Materials;42.95;6000;1;1;5.69;-0.1874;3.28;;13.95;0.59;0.078;0.258;-0.023;2.7
FOX;Twenty-First Century Fox Class B;Services;30.75;27000;1;1;24.7;;26.5;25.99;7.51;;;;;1.3
FOXA;Twenty-First Century Fox Class A;Services;30.93;20500;1;1;58.22;2.46;26.5;25.75;7.41;2.29;0.049;0.148;0.237;2.1
FRT;Federal Realty Investment Trust;Financial;150.82;299;1;1;10.72;0.1806;0.744;58.25;23.87;0.3;0.043;0.128;;2.5
FSLR;First Solar Inc;Technology;61.54;6350;1;1;6.21;0.5464;3.58;11.29;54.72;17.79;0.07;0.092;0.09;2.1
FTI;FMC Technologies Inc.;Basic Materials;29.53;17400;1;1;6.6;0.3931;6.36;17.05;10.98;4;0.058;0.156;0.116;2.5
FTR;Frontier Communications;Technology;5.63;19200;1;1;6.41;-0.319;5.58;;4.87;0.81;-0.014;-0.061;0.042;2
GAS;AGL Resources Inc.;Utilities;65.08;5203;1;1;7.9;0.353;3.94;22.26;32.77;0.22;0.025;0.09;0.061;
GD;General Dynamics;Industrial Goods;137.9;99900;1;1;41.89;2.97;31.47;15.06;34.28;9.09;0.089;0.268;0.215;1.9
GE;General Electric;Industrial Goods;30.76;333000;1;1;286.91;1.66;117.39;165.84;9.81;11.55;-0.012;-0.061;;2.1
GGP;General Growth Properties Inc.;Financial;28.58;1700;1;1;25.3;1.36;2.4;20.09;9.1;0.4;0.057;0.17;0.043;2.1
