helyseg;lakos
Rum;1166
Fülöpjakab;1164
Szelevény;1160
Nyírgelse;1159
Parasznya;1157
Páka;1156
Pusztazámor;1156
Homokszentgyörgy;1154
Lovászpatona;1154
Somlóvásárhely;1153
Tiszaszentmárton;1151
Balogunyom;1144
Dömös;1144
Erdõbénye;1144
Gyöngyösfalu;1144
Nagykónyi;1144
Sáta;1143
Halimba;1142
Lesencetomaj;1141
Várdomb;1137
Hidasnémeti;1134
Visznek;1131
Bárdudvarnok;1127
Babót;1125
Bocfölde;1123
Ároktõ;1122
Cered;1122
Magyarnándor;1122
Szentpéterszeg;1122
Áporka;1121
Vásárosdombó;1120
Bódvaszilas;1119
Letkés;1119
Berzék;1118
Gelse;1118
Sokorópátka;1118
Boldogkõváralja;1117
Mezõgyán;1117
Szalonna;1116
Tépe;1116
Teskánd;1116
Visonta;1115
Bükkszenterzsébet;1114
Görgeteg;1111
Kömlõd;1111
Tiszabecs;1111
Andocs;1110
Gérce;1110
Káld;1105
Rétközberencs;1105
Bükkösd;1104
Medgyesbodzás;1103
Dorogháza;1101
Tiszaderzs;1099
Zákány;1098
Tótszerdahely;1096
Nézsa;1092
Varbó;1092
Balatonberény;1091
Nyírtét;1088
Galgagyörk;1087
Beszterec;1086
Mezõladány;1086
Nagyrécse;1083
Bárna;1081
Szalaszend;1081
Nyíribrony;1080
Sajóhídvég;1080
Sárszentlõrinc;1078
Balaton;1076
Csököly;1076
Kisar;1076
Pálháza;1075
Bakonynána;1067
Szomor;1067
Hahót;1066
Tabdi;1066
Örményes;1064
Mezõnagymihály;1063
Mihályi;1063
Olaszfalu;1061
Újléta;1061
Ságújfalu;1059
Sajóecseg;1059
Magyarszék;1056
Nagylók;1056
Sarród;1056
Uszód;1056
Lukácsháza;1055
Hejõkeresztúr;1053
Nõtincs;1053
Tardona;1053
Vajta;1053
Tolnanémedi;1052
Egervár;1051
Gutorfölde;1051
Kamut;1050
Beloiannisz;1049
Kisnána;1049
Gyulaj;1048
Kölked;1048
Himesháza;1046
Székely;1046
Csõsz;1043
Kajászó;1042
Zalaszentiván;1042
Várvölgy;1041
Petõháza;1039
Szorgalmatos;1039
Aparhant;1038
Dormánd;1038
Kisvarsány;1035
Mezõlak;1035
Tiszasas;1035
Rábapordány;1034
Héreg;1032
Balatonederics;1030
